"","estimate","covariate.set"
"176",28.2569489411416,"Extended - Precision"
"177",23.1135859448723,"Extended shifted"
"178",29.8302110448974,"Minimal"
"179",31.862029600741,"Extended - Precision"
"180",27.1504036450939,"Extended shifted"
"181",29.44980922385,"Minimal"
"182",29.6549072571437,"Extended - Precision"
"183",28.9909652500199,"Extended shifted"
"184",34.1465043499205,"Minimal"
"185",27.8667789542532,"Extended - Precision"
"186",34.0521626599749,"Extended shifted"
"187",29.8853197323153,"Minimal"
"188",30.261292991335,"Extended - Precision"
"189",25.1669483476359,"Extended shifted"
"190",35.5132107726368,"Minimal"
"191",33.7300908853357,"Extended - Precision"
"192",34.153436201499,"Extended shifted"
"193",28.4960906762134,"Minimal"
"194",32.6970963459361,"Extended - Precision"
"195",21.816484207915,"Extended shifted"
"196",35.4370053118486,"Minimal"
"197",31.7518851363434,"Extended - Precision"
"198",30.0231222583762,"Extended shifted"
"199",31.6569147601965,"Minimal"
"200",31.1132449374774,"Extended - Precision"
"201",31.6657441069875,"Extended shifted"
"202",31.0244083758607,"Minimal"
"203",30.2450458201578,"Extended - Precision"
"204",29.43091639113,"Extended shifted"
"205",34.2937911312655,"Minimal"
"206",36.929984360058,"Extended - Precision"
"207",31.8620505408324,"Extended shifted"
"208",35.5349063834491,"Minimal"
"209",32.6901407653936,"Extended - Precision"
"210",33.4301117311781,"Extended shifted"
"211",33.5311973639035,"Minimal"
"212",32.0627087657763,"Extended - Precision"
"213",30.3263661889629,"Extended shifted"
"214",29.7712610340679,"Minimal"
"215",25.7770499523356,"Extended - Precision"
"216",36.4546696644341,"Extended shifted"
"217",32.1954278626886,"Minimal"
"218",32.3927989013322,"Extended - Precision"
"219",29.7512149627947,"Extended shifted"
"220",33.0555877887969,"Minimal"
"221",32.9584762925056,"Extended - Precision"
"222",32.005196453959,"Extended shifted"
"223",37.137494772121,"Minimal"
"224",33.5908212920415,"Extended - Precision"
"225",31.4548793421545,"Extended shifted"
"226",29.5879026863589,"Minimal"
"227",32.2314622296708,"Extended - Precision"
"228",25.3602557671288,"Extended shifted"
"229",35.3787439987758,"Minimal"
"230",33.777662225046,"Extended - Precision"
"231",39.5363376719846,"Extended shifted"
"232",32.7482822209916,"Minimal"
"233",31.2380125503839,"Extended - Precision"
"234",31.9555675516701,"Extended shifted"
"235",36.1116798025929,"Minimal"
"236",32.3600889577057,"Extended - Precision"
"237",39.1983753348516,"Extended shifted"
"238",27.2303000493341,"Minimal"
"239",26.3880338434344,"Extended - Precision"
"240",28.3054293823031,"Extended shifted"
"241",30.0782836545708,"Minimal"
"242",27.8363141388961,"Extended - Precision"
"243",27.1907205351386,"Extended shifted"
"244",21.1578277549888,"Minimal"
"245",20.7707120978233,"Extended - Precision"
"246",17.2531082084211,"Extended shifted"
"247",29.4722786005998,"Minimal"
"248",33.2773950501233,"Extended - Precision"
"249",29.1896219902826,"Extended shifted"
"250",31.3800389421257,"Minimal"
"251",30.6444198618313,"Extended - Precision"
"252",31.8470073005951,"Extended shifted"
"253",26.0563690636516,"Minimal"
"254",26.1350120407653,"Extended - Precision"
"255",29.6065163107624,"Extended shifted"
"256",31.843252233428,"Minimal"
"257",33.6408862650464,"Extended - Precision"
"258",35.4540196903602,"Extended shifted"
"259",33.3082398668155,"Minimal"
"260",36.8697656339157,"Extended - Precision"
"261",28.3981632471869,"Extended shifted"
"262",29.8983065963186,"Minimal"
"263",31.5809266278564,"Extended - Precision"
"264",25.7508208321943,"Extended shifted"
"265",37.2581659597475,"Minimal"
"266",35.4792401716007,"Extended - Precision"
"267",38.0453474889045,"Extended shifted"
"268",31.101732530014,"Minimal"
"269",31.3862775233958,"Extended - Precision"
"270",29.3611642317456,"Extended shifted"
"271",31.534158820909,"Minimal"
"272",34.9605654030125,"Extended - Precision"
"273",26.1082409686505,"Extended shifted"
"274",36.6774173336745,"Minimal"
"275",35.4197241301899,"Extended - Precision"
"276",32.4881501303927,"Extended shifted"
"277",34.5759470599377,"Minimal"
"278",35.2355135252199,"Extended - Precision"
"279",37.5642751534428,"Extended shifted"
"280",32.7192502825903,"Minimal"
"281",35.1828090346737,"Extended - Precision"
"282",28.4233101956169,"Extended shifted"
"283",25.8137739495783,"Minimal"
"284",28.7471477259643,"Extended - Precision"
"285",31.6360963744036,"Extended shifted"
"286",36.778490707931,"Minimal"
"287",34.1748021473789,"Extended - Precision"
"288",38.0141089277032,"Extended shifted"
"289",34.9049519787205,"Minimal"
"290",31.9093992831434,"Extended - Precision"
"291",30.1181275161255,"Extended shifted"
"292",26.198354449635,"Minimal"
"293",30.1540080270078,"Extended - Precision"
"294",20.2749760967253,"Extended shifted"
"295",29.5977774708983,"Minimal"
"296",29.1479754622069,"Extended - Precision"
"297",27.0608458620369,"Extended shifted"
"298",30.5149830327962,"Minimal"
"299",32.7433944465789,"Extended - Precision"
"300",27.5254486720787,"Extended shifted"
"301",28.9334138521106,"Minimal"
"302",31.6593964345593,"Extended - Precision"
"303",27.2065293617106,"Extended shifted"
"304",29.6331003741493,"Minimal"
"305",32.7393883855514,"Extended - Precision"
"306",37.5466687138122,"Extended shifted"
"307",34.1394139703828,"Minimal"
"308",32.3674890371475,"Extended - Precision"
"309",35.3860511952021,"Extended shifted"
"310",24.4684269453293,"Minimal"
"311",25.1963892561161,"Extended - Precision"
"312",23.6986549983297,"Extended shifted"
"313",31.9367519757919,"Minimal"
"314",32.9888761070514,"Extended - Precision"
"315",27.8963966834582,"Extended shifted"
"316",27.3511111338148,"Minimal"
"317",30.6250691083175,"Extended - Precision"
"318",27.2839549497778,"Extended shifted"
"319",32.8012516093332,"Minimal"
"320",31.5210960959985,"Extended - Precision"
"321",39.9202331424616,"Extended shifted"
"322",31.8779298751294,"Minimal"
"323",27.9266892628528,"Extended - Precision"
"324",31.3814522393571,"Extended shifted"
"325",26.8539519623505,"Minimal"
"326",27.0147387810672,"Extended - Precision"
"327",28.3227742410614,"Extended shifted"
"328",28.7233726328601,"Minimal"
"329",27.9326792302248,"Extended - Precision"
"330",28.2510883401009,"Extended shifted"
"331",31.6264029336845,"Minimal"
"332",31.8124533099772,"Extended - Precision"
"333",16.1278328498784,"Extended shifted"
"334",30.6777250850367,"Minimal"
"335",32.7976838519166,"Extended - Precision"
"336",28.0765447754231,"Extended shifted"
"337",32.8477674883423,"Minimal"
"338",33.2333728227818,"Extended - Precision"
"339",31.9295430792359,"Extended shifted"
"340",33.8582338513322,"Minimal"
"341",36.563229768006,"Extended - Precision"
"342",26.5750639588026,"Extended shifted"
"343",35.3053344751452,"Minimal"
"344",35.7202030908997,"Extended - Precision"
"345",40.858297425814,"Extended shifted"
"346",32.3630313769758,"Minimal"
"347",28.8292534723535,"Extended - Precision"
"348",40.997737435313,"Extended shifted"
"349",37.7897493869153,"Minimal"
"350",33.9362688801211,"Extended - Precision"
"351",36.5362130304847,"Extended shifted"
"352",33.5313950395969,"Minimal"
"353",31.4096088033222,"Extended - Precision"
"354",38.5995362766745,"Extended shifted"
"355",34.3284185502075,"Minimal"
"356",34.4305067537198,"Extended - Precision"
"357",28.8629752434861,"Extended shifted"
"358",34.0149969131362,"Minimal"
"359",32.0070555327128,"Extended - Precision"
"360",28.6579426429045,"Extended shifted"
"361",28.9817943810708,"Minimal"
"362",28.5341740663868,"Extended - Precision"
"363",31.2669521786351,"Extended shifted"
"364",28.0125637319311,"Minimal"
"365",29.3121205784,"Extended - Precision"
"366",30.0605431474684,"Extended shifted"
"367",27.6322601378993,"Minimal"
"368",28.0283016796858,"Extended - Precision"
"369",27.1274095732893,"Extended shifted"
"370",36.2513332487918,"Minimal"
"371",36.5971225705178,"Extended - Precision"
"372",38.3139305522998,"Extended shifted"
"373",31.2955821547001,"Minimal"
"374",28.8780933658421,"Extended - Precision"
"375",35.2489498995292,"Extended shifted"
"376",34.4716510563006,"Minimal"
"377",32.3790269888484,"Extended - Precision"
"378",34.0792636441851,"Extended shifted"
"379",30.1007184809149,"Minimal"
"380",29.7924499859981,"Extended - Precision"
"381",29.9166138086224,"Extended shifted"
"382",30.39506549002,"Minimal"
"383",28.3075819343974,"Extended - Precision"
"384",28.6612489558063,"Extended shifted"
"385",31.6093859151588,"Minimal"
"386",27.3149673982476,"Extended - Precision"
"387",32.1178208721466,"Extended shifted"
"388",28.9943036471305,"Minimal"
"389",30.327307070846,"Extended - Precision"
"390",26.4264057845211,"Extended shifted"
"391",33.8543832914483,"Minimal"
"392",34.0675112003285,"Extended - Precision"
"393",34.7396674480305,"Extended shifted"
"394",25.8646331802188,"Minimal"
"395",28.0331299656102,"Extended - Precision"
"396",20.8196290396603,"Extended shifted"
"397",32.1855747279425,"Minimal"
"398",32.0126902684736,"Extended - Precision"
"399",34.3531893960889,"Extended shifted"
"400",31.1504223738299,"Minimal"
"401",32.551391940407,"Extended - Precision"
"402",28.0301711395037,"Extended shifted"
"403",31.7525603173594,"Minimal"
"404",30.0496238146048,"Extended - Precision"
"405",32.1209615569084,"Extended shifted"
"406",36.3176160822835,"Minimal"
"407",35.3655979095933,"Extended - Precision"
"408",32.601449256352,"Extended shifted"
"409",28.6036252236383,"Minimal"
"410",27.953095293653,"Extended - Precision"
"411",31.2076136122202,"Extended shifted"
"412",34.2753828844799,"Minimal"
"413",31.5538101803071,"Extended - Precision"
"414",24.1069605032311,"Extended shifted"
"415",30.2171625424375,"Minimal"
"416",30.4187510985933,"Extended - Precision"
"417",31.5410451672731,"Extended shifted"
"418",28.8925449262045,"Minimal"
"419",28.1535714643936,"Extended - Precision"
"420",25.8105921280734,"Extended shifted"
"421",41.5207669061241,"Minimal"
"422",39.0231415996245,"Extended - Precision"
"423",42.8282021101989,"Extended shifted"
"424",33.3500030745116,"Minimal"
"425",32.4465567260274,"Extended - Precision"
"426",25.0393827607696,"Extended shifted"
"427",31.7672783921999,"Minimal"
"428",32.5734513515713,"Extended - Precision"
"429",27.1401577794728,"Extended shifted"
"430",35.5337769733229,"Minimal"
"431",33.1064789929006,"Extended - Precision"
"432",36.5573035651447,"Extended shifted"
"433",32.3200834535511,"Minimal"
"434",32.5221650260252,"Extended - Precision"
"435",24.5466500534084,"Extended shifted"
"436",26.500172152198,"Minimal"
"437",27.5047606842151,"Extended - Precision"
"438",27.0273085820174,"Extended shifted"
"439",32.6089521436761,"Minimal"
"440",34.5502678900712,"Extended - Precision"
"441",32.8997436373553,"Extended shifted"
"442",23.5704411308456,"Minimal"
"443",26.5830765261328,"Extended - Precision"
"444",18.0305655202651,"Extended shifted"
"445",32.4751095031365,"Minimal"
"446",28.5559720954228,"Extended - Precision"
"447",32.3929293454481,"Extended shifted"
"448",33.9236048043028,"Minimal"
"449",32.078059002907,"Extended - Precision"
"450",34.8796613009561,"Extended shifted"
"451",35.2484377187765,"Minimal"
"452",32.2540680670258,"Extended - Precision"
"453",41.1725153274457,"Extended shifted"
"454",30.6678515640759,"Minimal"
"455",29.5367783691916,"Extended - Precision"
"456",28.4783656398358,"Extended shifted"
"457",33.782708102602,"Minimal"
"458",33.1978719200385,"Extended - Precision"
"459",34.9253680226851,"Extended shifted"
"460",32.6689443378725,"Minimal"
"461",32.4804247911408,"Extended - Precision"
"462",36.9798718632387,"Extended shifted"
"463",37.516239403982,"Minimal"
"464",35.3457572740262,"Extended - Precision"
"465",34.3896242583355,"Extended shifted"
"466",30.1466005837971,"Minimal"
"467",30.048084666312,"Extended - Precision"
"468",26.9515062618195,"Extended shifted"
"469",33.1151428709607,"Minimal"
"470",32.4504619205624,"Extended - Precision"
"471",36.4129811489916,"Extended shifted"
"472",31.0251318696843,"Minimal"
"473",30.2635070455268,"Extended - Precision"
"474",26.1814272863801,"Extended shifted"
"475",32.2712125456508,"Minimal"
"476",31.1297508606995,"Extended - Precision"
"477",29.396899675475,"Extended shifted"
"478",30.0091347086582,"Minimal"
"479",31.2587467386991,"Extended - Precision"
"480",31.367922171333,"Extended shifted"
"481",38.2550197302934,"Minimal"
"482",32.5810360182784,"Extended - Precision"
"483",40.8063694166486,"Extended shifted"
"484",35.2901158620187,"Minimal"
"485",31.7999712250885,"Extended - Precision"
"486",25.2263561322058,"Extended shifted"
"487",27.068320940525,"Minimal"
"488",25.713737037486,"Extended - Precision"
"489",31.3679798058788,"Extended shifted"
"490",33.9085702381418,"Minimal"
"491",33.3407394759363,"Extended - Precision"
"492",33.0524294470347,"Extended shifted"
"493",33.3514692999815,"Minimal"
"494",34.6873923191339,"Extended - Precision"
"495",33.8705925786275,"Extended shifted"
"496",37.6278433783193,"Minimal"
"497",33.8626122097284,"Extended - Precision"
"498",43.15664487558,"Extended shifted"
"499",33.7315312510485,"Minimal"
"500",35.7803954309518,"Extended - Precision"
"501",38.292705768965,"Extended shifted"
"502",32.9217392808921,"Minimal"
"503",30.2012863304612,"Extended - Precision"
"504",34.7056569229085,"Extended shifted"
"505",33.4995582157979,"Minimal"
"506",31.6857810144234,"Extended - Precision"
"507",31.2601145074453,"Extended shifted"
"508",31.8891320386752,"Minimal"
"509",31.5892672096412,"Extended - Precision"
"510",33.2415662177879,"Extended shifted"
"511",31.0048184883641,"Minimal"
"512",30.7940126372962,"Extended - Precision"
"513",30.2986301100691,"Extended shifted"
"514",32.6926311696145,"Minimal"
"515",31.9052162467446,"Extended - Precision"
"516",27.3783674354134,"Extended shifted"
"517",30.7014770838671,"Minimal"
"518",29.3958178435349,"Extended - Precision"
"519",23.4408082828895,"Extended shifted"
"520",29.8734751840933,"Minimal"
"521",33.5806301401502,"Extended - Precision"
"522",29.1253253205521,"Extended shifted"
"523",33.4331332043247,"Minimal"
"524",34.8250106227926,"Extended - Precision"
"525",31.581361980612,"Extended shifted"
"526",35.8209275068411,"Minimal"
"527",30.9982085542564,"Extended - Precision"
"528",40.098402627309,"Extended shifted"
"529",35.7947976881692,"Minimal"
"530",33.2877392166949,"Extended - Precision"
"531",37.2712493243387,"Extended shifted"
"532",33.179625684474,"Minimal"
"533",31.1882989409253,"Extended - Precision"
"534",35.0778494685431,"Extended shifted"
"535",28.5165735981966,"Minimal"
"536",26.2770145407371,"Extended - Precision"
"537",27.4972185567401,"Extended shifted"
"538",31.3369199553391,"Minimal"
"539",35.0326014040813,"Extended - Precision"
"540",28.2670139497191,"Extended shifted"
"541",34.3371089601274,"Minimal"
"542",33.9395616922061,"Extended - Precision"
"543",34.7960501414702,"Extended shifted"
"544",28.8678136286548,"Minimal"
"545",29.0000447690353,"Extended - Precision"
"546",30.6650621938596,"Extended shifted"
"547",33.1100695328004,"Minimal"
"548",31.7299238541018,"Extended - Precision"
"549",37.6790756132249,"Extended shifted"
"550",31.820638248745,"Minimal"
"551",31.4338476198972,"Extended - Precision"
"552",27.682321817187,"Extended shifted"
"553",34.7717872337146,"Minimal"
"554",34.8586374056869,"Extended - Precision"
"555",33.995872939765,"Extended shifted"
"556",29.6441702922783,"Minimal"
"557",26.5782108501807,"Extended - Precision"
"558",24.2817092924205,"Extended shifted"
"559",34.6315445642808,"Minimal"
"560",31.5279632844197,"Extended - Precision"
"561",50.9951206387385,"Extended shifted"
"562",30.4120959934295,"Minimal"
"563",28.5360462311226,"Extended - Precision"
"564",29.1550855654798,"Extended shifted"
"565",34.9366139601809,"Minimal"
"566",32.4869469510764,"Extended - Precision"
"567",28.5630217156368,"Extended shifted"
"568",30.2397312033347,"Minimal"
"569",29.6770565678142,"Extended - Precision"
"570",22.2495074577055,"Extended shifted"
"571",30.3411952572825,"Minimal"
"572",28.3172961794375,"Extended - Precision"
"573",33.6192220353358,"Extended shifted"
"574",35.8091444911059,"Minimal"
"575",32.6463839660361,"Extended - Precision"
"576",41.2856131976607,"Extended shifted"
"577",20.4763114852003,"Minimal"
"578",28.3401470596376,"Extended - Precision"
"579",23.2309360500858,"Extended shifted"
"580",30.4059411783815,"Minimal"
"581",34.9067405488911,"Extended - Precision"
"582",33.721601017707,"Extended shifted"
"583",31.9447541875133,"Minimal"
"584",32.1363672587199,"Extended - Precision"
"585",34.9534421657197,"Extended shifted"
"586",32.5597535165519,"Minimal"
"587",28.6364794820885,"Extended - Precision"
"588",32.1601702856814,"Extended shifted"
"589",28.5606040872705,"Minimal"
"590",29.9029617154251,"Extended - Precision"
"591",27.4912560754635,"Extended shifted"
"592",25.3026799655622,"Minimal"
"593",26.2368112444599,"Extended - Precision"
"594",30.6956826448769,"Extended shifted"
"595",26.5216040278145,"Minimal"
"596",27.1621890733188,"Extended - Precision"
"597",26.9274279424765,"Extended shifted"
"598",32.0554053909366,"Minimal"
"599",30.9641166573243,"Extended - Precision"
"600",28.9115329336147,"Extended shifted"
"601",28.340539608296,"Minimal"
"602",29.3880576590367,"Extended - Precision"
"603",26.6341745870409,"Extended shifted"
"604",32.6289151247828,"Minimal"
"605",32.8921907574583,"Extended - Precision"
"606",34.7867283997146,"Extended shifted"
"607",30.3886031058215,"Minimal"
"608",33.2427828666704,"Extended - Precision"
"609",21.5580564888879,"Extended shifted"
"610",28.3156998852814,"Minimal"
"611",29.4754413747797,"Extended - Precision"
"612",26.5472090548322,"Extended shifted"
"613",35.1269566912285,"Minimal"
"614",36.4404609325738,"Extended - Precision"
"615",41.232349033662,"Extended shifted"
"616",29.1961459159819,"Minimal"
"617",25.9250918902758,"Extended - Precision"
"618",25.7721195010062,"Extended shifted"
"619",31.6002558040476,"Minimal"
"620",30.822254249821,"Extended - Precision"
"621",36.7017704080843,"Extended shifted"
"622",28.9344330628594,"Minimal"
"623",30.0201502038124,"Extended - Precision"
"624",24.5681083096296,"Extended shifted"
"625",34.3216634240772,"Minimal"
"626",30.3921594589678,"Extended - Precision"
"627",27.48278528984,"Extended shifted"
"628",36.0324930341138,"Minimal"
"629",35.0528734458865,"Extended - Precision"
"630",32.1325224504034,"Extended shifted"
"631",25.7146684474004,"Minimal"
"632",27.2910082498341,"Extended - Precision"
"633",23.9765513640043,"Extended shifted"
"634",28.9777516546728,"Minimal"
"635",34.3548588373783,"Extended - Precision"
"636",29.3203386062505,"Extended shifted"
"637",32.7079099986729,"Minimal"
"638",30.5001961370599,"Extended - Precision"
"639",41.1024597284323,"Extended shifted"
"640",32.0500297287583,"Minimal"
"641",28.4492352895108,"Extended - Precision"
"642",37.4620112498103,"Extended shifted"
"643",32.0149553538927,"Minimal"
"644",31.8679730835461,"Extended - Precision"
"645",34.0853429248674,"Extended shifted"
"646",28.0734269259231,"Minimal"
"647",28.992848449355,"Extended - Precision"
"648",33.1002528061635,"Extended shifted"
"649",33.1692768099125,"Minimal"
"650",35.2798110067436,"Extended - Precision"
"651",29.0974076177842,"Extended shifted"
"652",27.8474116131014,"Minimal"
"653",26.0500816109235,"Extended - Precision"
"654",22.6448756821997,"Extended shifted"
"655",30.669698164019,"Minimal"
"656",26.5553519695073,"Extended - Precision"
"657",32.4048682552633,"Extended shifted"
"658",33.0812865962486,"Minimal"
"659",27.3472425141247,"Extended - Precision"
"660",37.0106020834773,"Extended shifted"
"661",33.9414152840931,"Minimal"
"662",30.2027530782618,"Extended - Precision"
"663",26.5314375347227,"Extended shifted"
"664",35.4160927958629,"Minimal"
"665",29.4596625281757,"Extended - Precision"
"666",36.3417531775342,"Extended shifted"
"667",32.1535615415549,"Minimal"
"668",29.8320328853223,"Extended - Precision"
"669",24.0806828377047,"Extended shifted"
"670",35.0506093073256,"Minimal"
"671",36.4580991599105,"Extended - Precision"
"672",29.4115594703318,"Extended shifted"
"673",34.5341338969874,"Minimal"
"674",35.0568994214172,"Extended - Precision"
"675",37.0887657253182,"Extended shifted"
"676",27.8149912368894,"Minimal"
"677",27.5123348341489,"Extended - Precision"
"678",29.9935025884302,"Extended shifted"
"679",35.7297314039414,"Minimal"
"680",35.5189986182749,"Extended - Precision"
"681",41.482427778042,"Extended shifted"
"682",34.5829525138445,"Minimal"
"683",34.2356917736083,"Extended - Precision"
"684",27.3936251112823,"Extended shifted"
"685",29.6319499375991,"Minimal"
"686",23.7020284152591,"Extended - Precision"
"687",31.1428023544218,"Extended shifted"
"688",30.3352183018573,"Minimal"
"689",28.2486708831757,"Extended - Precision"
"690",32.2517562674139,"Extended shifted"
"691",32.0653324304853,"Minimal"
"692",34.3196480846787,"Extended - Precision"
"693",31.5133614793282,"Extended shifted"
"694",30.846154679103,"Minimal"
"695",28.9336642014837,"Extended - Precision"
"696",30.9687689990584,"Extended shifted"
"697",30.6741645958421,"Minimal"
"698",29.2668553446683,"Extended - Precision"
"699",34.7567837323762,"Extended shifted"
"700",34.2108567249763,"Minimal"
"701",32.6705715625382,"Extended - Precision"
"702",30.3871736807699,"Extended shifted"
"703",34.945351353227,"Minimal"
"704",30.3023938863006,"Extended - Precision"
"705",35.908840346968,"Extended shifted"
"706",34.2630369706312,"Minimal"
"707",31.6384726102127,"Extended - Precision"
"708",38.1494778275063,"Extended shifted"
"709",32.5426022899527,"Minimal"
"710",30.3689467672534,"Extended - Precision"
"711",28.881425426392,"Extended shifted"
"712",29.4674467763261,"Minimal"
"713",27.6629405376076,"Extended - Precision"
"714",33.0932677941644,"Extended shifted"
